COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID
13469,4121.9034,5054.0107,4178.972,6.266667,31,42,A1020
13470,4123.3795,5052.4821,4176.8543,7.883333,31,42,A1020
13471,4124.8557,5050.9535,4174.7367,7.4,31,42,A1020
13472,4126.3318,5049.4249,4172.6191,11.25,31,42,A1020
13473,4127.439,5048.2784,4171.0309,14,31,42,A1020
13488,4149.114,5025.8333,4139.9373,7.333333,32,42,A1020
14838,3916.822,4809.9668,4009.2102,2.033333,31,42,A1041
14839,3918.1282,4808.6853,4006.8329,1.016667,31,42,A1041
14840,3919.4337,4807.4067,4004.4537,1,31,42,A1041
14841,3920.7404,4806.1333,4002.0723,3.5,31,42,A1041
15061,4238.6169,5153.8161,4170.7282,9.653334,31,42,A1045
15062,4240.1298,5152.3282,4168.6076,6.333333,31,42,A1045
15063,4241.646,5150.8427,4166.4875,5,31,42,A1045
15064,4243.1673,5149.3602,4164.3691,25.333334,31,42,A1045
15065,4244.6919,5147.8826,4162.2496,25,31,42,A1045
15066,4246.2209,5146.4095,4160.1302,10.666667,32,42,A1045
15067,4247.7544,5144.9451,4158.0079,8.666667,32,42,A1045
15068,4249.2841,5143.4754,4155.8866,12.666667,32,42,A1045
15069,4250.803,5141.9998,4153.7616,8.6,32,42,A1045
15070,4252.3208,5140.5243,4151.6358,15.333333,32,42,A1045
15071,4253.8354,5139.0451,4149.5102,10,32,42,A1045
15072,4255.3498,5137.5643,4147.3857,5,32,42,A1045
15073,4256.9175,5136.0336,4145.1926,4.5625,32,42,A1045
15074,4258.4869,5134.501,4143.0022,1.666667,32,42,A1045
15075,4260.0124,5133.0208,4140.8851,0.666667,32,42,A1045
15076,4261.5453,5131.5427,4138.772,0.5,32,42,A1045
20872,4187.7711,5157.8357,4032.7283,5,31,42,A1133
20873,4188.8307,5156.7456,4030.1421,9,31,42,A1133
20874,4189.8893,5155.6561,4027.5551,6.5,31,42,A1133
20875,4190.9466,5154.5671,4024.9674,5.183333,31,42,A1133
20876,4192.0029,5153.4787,4022.379,5.333333,31,42,A1133
20877,4193.058,5152.3909,4019.7899,6.416667,31,42,A1133
20878,4194.112,5151.3036,4017.2002,6.666667,31,42,A1133
20879,4195.1647,5150.2168,4014.6097,6.333333,31,42,A1133
20880,4196.2159,5149.1302,4012.0185,8,31,42,A1133
20881,4197.2656,5148.044,4009.4265,8.616667,31,42,A1133
20882,4198.3137,5146.9579,4006.8338,7.333333,31,42,A1133
20883,4199.3602,5145.8722,4004.2404,7.133333,31,42,A1133
20884,4200.4053,5144.7868,4001.6462,17.1,31,42,A1133
20999,4116.5473,5089.0654,4111.4598,8.333333,31,42,A1135
21000,4117.9706,5087.668,4109.2188,14.5,31,42,A1135
21001,4119.3939,5086.2735,4106.9762,14.5,31,42,A1135
21002,4120.8171,5084.8816,4104.7319,11.5,31,42,A1135
21003,4122.2404,5083.4924,4102.4858,10,31,42,A1135
21004,4123.6636,5082.106,4100.2381,7.5,31,42,A1135
21005,4125.0868,5080.7223,4097.9887,8,31,42,A1135
21006,4126.51,5079.3413,4095.7376,12,31,42,A1135
21007,4127.9331,5077.963,4093.4848,8,31,42,A1135
21008,4129.3562,5076.5875,4091.2304,10.883333,31,42,A1135
21009,4130.7793,5075.2147,4088.9742,9,31,42,A1135
21010,4132.2024,5073.8446,4086.7164,8.5,31,42,A1135
21011,4133.6254,5072.4772,4084.4569,9.4,31,42,A1135
21012,4135.0484,5071.1126,4082.1957,14.666667,31,42,A1135
21013,4136.4713,5069.7507,4079.9328,13,31,42,A1135
21014,4137.8941,5068.3908,4077.6688,10.666667,31,42,A1135
21015,4139.3165,5067.0304,4075.4046,12.5,31,42,A1135
21016,4140.7385,5065.6696,4073.1405,9.5,31,42,A1135
21017,4142.1601,5064.3084,4070.8764,11.5,31,42,A1135
21018,4143.5812,5062.9468,4068.6123,16,31,42,A1135
21019,4145.0019,5061.5846,4066.3481,15,31,42,A1135
21020,4146.4221,5060.2221,4064.084,11,31,42,A1135
21021,4147.842,5058.8591,4061.8199,10,31,42,A1135
21022,4149.084,5057.6661,4059.8387,5.888889,31,42,A1135
21023,4150.3256,5056.4727,4057.8576,24.450001,32,42,A1135
21024,4151.7443,5055.1085,4055.5935,9.75,32,42,A1135
21025,4153.4934,5053.4253,4052.8011,8.022727,32,42,A1135
21035,4168.2936,5039.0501,4029.065,13,32,42,A1135
21716,4009.4911,4848.4809,4058.5746,111.150002,31,42,A1140
21717,4010.8817,4846.9112,4056.4293,13.166667,31,42,A1140
21718,4012.2728,4845.3432,4054.2831,8.666667,31,42,A1140
21719,4013.7804,4843.6465,4051.957,15.314285,31,42,A1140
21725,4022.2563,4834.1556,4038.8748,10,31,42,A1140
21726,4023.6513,4832.6015,4036.721,10,31,42,A1140
21727,4025.0468,4831.0491,4034.5663,20.816668,31,42,A1140
21728,4026.4427,4829.4984,4032.4107,49,31,42,A1140
21730,4028.7703,4826.9177,4028.8159,12.5,32,42,A1140
21731,4030.4002,4825.1136,4026.2983,52.5,32,42,A1140
21732,4032.0295,4823.3094,4023.7803,18.216667,32,42,A1140
21733,4033.1929,4822.0206,4021.9815,19,32,42,A1140
21734,4034.3559,4820.7318,4020.1826,32.333332,32,42,A1140
21735,4036.0767,4818.8241,4017.5199,18.079546,32,42,A1140
25097,3160.1629,4283.3277,4001.1186,0.835,31,41,A1171
25530,3196.8595,4327.4653,4049.3675,18.333334,31,41,A1176
25531,3198.5899,4326.7499,4047.0236,11.266666,31,41,A1176
25532,3200.3181,4326.035,4044.6779,7,31,41,A1176
25533,3202.0441,4325.3206,4042.3304,29.75,31,41,A1176
25534,3203.7678,4324.6067,4039.9812,17.533333,31,41,A1176
25535,3205.4893,4323.8933,4037.6301,28.416666,31,41,A1176
25536,3207.2086,4323.1803,4035.2772,22.666666,31,41,A1176
25537,3208.5108,4322.64,4033.4918,43.129032,31,41,A1176
30575,3206.261,4302.9168,4121.1636,9,31,41,A1229
30576,3206.2732,4304.3755,4118.5422,4.6,31,41,A1229
32453,3507.8247,4652.9169,4121.467,135.169998,32,41,A1248
32454,3509.4733,4651.3087,4119.1036,145.277771,32,41,A1248
32456,3513.1951,4647.6779,4113.768,190,32,41,A1248
32457,3514.6939,4646.2159,4111.6195,86.620003,32,41,A1248
32458,3516.4424,4644.5102,4109.1129,52.25,32,41,A1248
32469,3461.0407,4726.4667,4181.6295,5.666667,31,41,A1249
32471,3462.6528,4724.7742,4176.6509,13.966666,32,41,A1249
32472,3463.5722,4723.8032,4173.7989,21.030304,32,41,A1249
32475,3466.4237,4720.795,4164.9738,329.75,31,41,A1249
32633,3432.6411,4693.218,4103.5405,26.25,32,41,A1250
32634,3432.2783,4693.3787,4100.5669,40.233334,32,41,A1250
32635,3432.0063,4693.4993,4098.3367,65,32,41,A1250
32637,3431.3654,4693.7833,4093.0832,7.233333,31,41,A1250
32638,3431.0027,4693.944,4090.1096,11.466666,31,41,A1250
32639,3430.6792,4694.0874,4087.4581,9.936171,31,41,A1250
32661,3423.2489,4697.38,4026.5479,17,32,41,A1250
32733,3418.278,4682.3292,4198.5206,7,32,41,A1251
32736,3420.6581,4678.3217,4191.2933,20,32,41,A1251
32737,3421.3264,4677.2087,4189.2747,3,31,41,A1251
32739,3422.8744,4674.608,4184.563,6.666667,32,41,A1251
32740,3423.5613,4673.4472,4182.4581,15,32,41,A1251
32741,3424.2472,4672.2887,4180.3515,16,31,41,A1251
32743,3426.299,4668.8233,4174.0245,5.25,32,41,A1251
32744,3427.2537,4667.2042,4171.072,1.766667,31,41,A1251
32785,3457.7788,4611.6538,4071.0738,104.633331,32,41,A1251
32786,3458.5173,4610.2192,4068.5447,117.699997,32,41,A1251
32787,3459.1462,4608.9984,4066.3961,47.404762,32,41,A1251
33029,4109.7521,5041.3763,4100.9036,9.6,31,42,A1254
33030,4111.1124,5040.1113,4098.5479,9.966666,31,42,A1254
33031,4112.6544,5038.6809,4095.8765,4.776316,31,42,A1254
33034,4116.3517,5035.2657,4089.4665,8.65,31,42,A1254
33035,4117.7131,5034.0134,4087.1046,8.55,31,42,A1254
33036,4119.0747,5032.7637,4084.7415,13.8,31,42,A1254
33037,4120.4704,5031.4847,4082.3184,11.698413,31,42,A1254
33154,3499.62,4772.6488,4187.6422,29,32,41,A1256
33156,3502.5796,4769.6886,4183.3437,77.900002,32,41,A1256
33157,3504.0629,4768.2049,4181.1992,122.800003,32,41,A1256
33158,3505.5485,4766.7188,4179.0581,78.166664,32,41,A1256
33159,3507.0351,4765.2304,4176.9193,138.666672,32,41,A1256
