ID,BHID,X,Y,Z,CODE,ZONE,VALUE,CAPVAL1,CAPPED1,CAPVAL2,CAPPED2,CAPVAL3,CAPPED3,CAPVAL4,CAPPED4,CAPVAL5,CAPPED5,CAPVAL6,CAPPED6,AvgSin,PROP_12,Num_Data
   6609,A055        ,   3221.14,   4291.31,   4071.36,      32, 41.0,   10.52667,   10.52667,    0,   10.52667,    0,   10.52667,    0,   10.52667,    0,   10.52667,    0,   10.52667,    0,   24.8056,    .714,   21
   6610,A055        ,   3222.69,   4289.64,   4069.41,      32, 41.0,   27.78000,   27.78000,    0,   27.78000,    0,   27.78000,    0,   27.78000,    0,   27.78000,    0,   27.78000,    0,   24.8056,    .714,   21
   6611,A055        ,   3224.23,   4287.98,   4067.44,      32, 41.0,   45.02000,   45.02000,    0,   45.02000,    0,   45.02000,    0,   45.02000,    0,   45.02000,    0,   45.02000,    0,   24.8056,    .714,   21
   6612,A055        ,   3225.77,   4286.32,   4065.46,      32, 41.0,   31.02333,   31.02333,    0,   31.02333,    0,   31.02333,    0,   31.02333,    0,   31.02333,    0,   31.02333,    0,   24.8056,    .714,   21
   6613,A055        ,   3227.29,   4284.68,   4063.47,      32, 41.0,   16.79000,   16.79000,    0,   16.79000,    0,   16.79000,    0,   16.79000,    0,   16.79000,    0,   16.79000,    0,   24.8056,    .714,   21
   6614,A055        ,   3228.81,   4283.04,   4061.47,      32, 41.0,   11.50000,   11.50000,    0,   11.50000,    0,   11.50000,    0,   11.50000,    0,   11.50000,    0,   11.50000,    0,   24.8056,    .714,   21
   6615,A055        ,   3230.32,   4281.41,   4059.46,      32, 41.0,     .91667,     .91667,    0,     .91667,    0,     .91667,    0,     .91667,    0,     .91667,    0,     .91667,    0,   24.8056,    .714,   21
   6616,A055        ,   3231.83,   4279.79,   4057.43,      32, 41.0,     .79500,     .79500,    0,     .79500,    0,     .79500,    0,     .79500,    0,     .79500,    0,     .79500,    0,   24.8056,    .714,   21
   6617,A055        ,   3233.32,   4278.18,   4055.39,      32, 41.0,    2.63000,    2.63000,    0,    2.63000,    0,    2.63000,    0,    2.63000,    0,    2.63000,    0,    2.63000,    0,   24.8056,    .714,   21
   6618,A055        ,   3234.69,   4276.71,   4053.50,      32, 41.0,    3.05200,    3.05200,    0,    3.05200,    0,    3.05200,    0,    3.05200,    0,    3.05200,    0,    3.05200,    0,   24.8056,    .714,   21
   6622,A055        ,   3240.12,   4270.85,   4045.80,      32, 41.0,   17.16267,   17.16267,    0,   17.16267,    0,   17.16267,    0,   17.16267,    0,   17.16267,    0,   17.16267,    0,   24.8056,    .714,   21
   6623,A055        ,   3241.57,   4269.29,   4043.69,      32, 41.0,   80.60667,   79.37804,    1,   80.60667,    0,   80.60667,    0,   80.60667,    0,   80.60667,    0,   80.60667,    0,   24.8056,    .714,   21
   6624,A055        ,   3243.01,   4267.74,   4041.56,      32, 41.0,   31.83667,   31.83667,    0,   31.83667,    0,   31.83667,    0,   31.83667,    0,   31.83667,    0,   31.83667,    0,   24.8056,    .714,   21
   6625,A055        ,   3244.45,   4266.19,   4039.43,      32, 41.0,   14.13500,   14.13500,    0,   14.13500,    0,   14.13500,    0,   14.13500,    0,   14.13500,    0,   14.13500,    0,   24.8056,    .714,   21
   6626,A055        ,   3245.87,   4264.66,   4037.28,      32, 41.0,   20.18500,   20.18500,    0,   20.18500,    0,   20.18500,    0,   20.18500,    0,   20.18500,    0,   20.18500,    0,   24.8056,    .714,   21
   6627,A055        ,   3247.16,   4263.27,   4035.32,      32, 41.0,   15.26122,   15.26122,    0,   15.26122,    0,   15.26122,    0,   15.26122,    0,   15.26122,    0,   15.26122,    0,   24.8056,    .714,   21
   7047,A060        ,   3545.69,   4691.23,   4151.62,      32, 41.0,   54.26000,   54.26000,    0,   54.26000,    0,   54.26000,    0,   54.26000,    0,   54.26000,    0,   54.26000,    0,  116.6769,    .458,   21
   7048,A060        ,   3547.04,   4689.75,   4149.38,      32, 41.0,   37.26800,   37.26800,    0,   37.26800,    0,   37.26800,    0,   37.26800,    0,   37.26800,    0,   37.26800,    0,  116.6769,    .458,   21
   7049,A060        ,   3548.39,   4688.28,   4147.14,      32, 41.0,   39.55000,   39.55000,    0,   39.55000,    0,   39.55000,    0,   39.55000,    0,   39.55000,    0,   39.55000,    0,  116.6769,    .542,   21
   7052,A060        ,   3552.95,   4683.33,   4139.62,      32, 41.0,  117.31760,  117.31760,    0,  117.31760,    0,  117.31760,    0,  117.31760,    0,  117.31760,    0,  117.31760,    0,  111.4943,    .417,   21
   7164,A062        ,   3822.79,   4814.43,   4199.84,      31, 41.0,   10.94667,   10.94667,    0,   10.94667,    0,   10.94667,    0,   10.94667,    0,   10.94667,    0,   10.94667,    0,   17.5476,    .750,   21
   7173,A062        ,   3833.43,   4803.23,   4177.70,      31, 41.0,   11.14000,   11.14000,    0,   11.14000,    0,   11.14000,    0,   11.14000,    0,   11.14000,    0,   11.14000,    0,   10.8481,    .438,   21
   7174,A062        ,   3834.63,   4801.97,   4175.25,      31, 41.0,   11.42000,   11.42000,    0,   11.42000,    0,   11.42000,    0,   11.42000,    0,   11.42000,    0,   11.42000,    0,    8.9687,    .429,   21
   7175,A062        ,   3835.83,   4800.71,   4172.81,      31, 41.0,    8.66000,    8.66000,    0,    8.66000,    0,    8.66000,    0,    8.66000,    0,    8.66000,    0,    8.66000,    0,    8.2723,    .447,   21
   7176,A062        ,   3837.04,   4799.45,   4170.37,      31, 41.0,   12.72000,   12.72000,    0,   12.72000,    0,   12.72000,    0,   12.72000,    0,   12.72000,    0,   12.72000,    0,    9.3278,    .429,   21
   7177,A062        ,   3838.24,   4798.18,   4167.93,      31, 41.0,   14.00000,   14.00000,    0,   14.00000,    0,   14.00000,    0,   14.00000,    0,   14.00000,    0,   14.00000,    0,    9.8477,    .396,   21
   7195,A062        ,   3859.79,   4775.52,   4125.88,      31, 42.0,    7.36667,    7.36667,    0,    7.36667,    0,    7.36667,    0,    7.36667,    0,    7.36667,    0,    7.36667,    0,   10.7946,    .840,   21
   7196,A062        ,   3861.05,   4774.20,   4123.50,      31, 42.0,    3.43333,    3.43333,    0,    3.43333,    0,    3.43333,    0,    3.43333,    0,    3.43333,    0,    3.43333,    0,   10.7319,    .840,   21
   7197,A062        ,   3862.31,   4772.87,   4121.13,      31, 42.0,    8.56000,    8.56000,    0,    8.56000,    0,    8.56000,    0,    8.56000,    0,    8.56000,    0,    8.56000,    0,   11.2978,    .808,   21
