,COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,CAPVAL1_PY,CAPPED1_PY,CAPVAL2_PY,CAPPED2_PY,CAPVAL3_PY,CAPPED3_PY,CAPVAL4_PY,CAPPED4_PY,CAPVAL5_PY,CAPPED5_PY,CAPVAL6_PY,CAPPED6_PY,AvgSin_PY,PROP_12_PY,Num_Data_PY,EXPAN_PY,EVALUADO_PY
47,6462,4013.7662,4932.7479,4182.9659,7.9,31,42,A054A,7.9,0,7.9,0,7.9,0,7.9,0,7.9,0,7.9,0,0.0,0.0,0,0,0
48,6463,4015.2778,4931.404,4180.7503,6.8,31,42,A054A,6.8,0,6.8,0,6.8,0,6.8,0,6.8,0,6.8,0,0.0,0.0,0,0,0
49,6464,4016.4877,4930.3283,4178.9785,9.2,31,42,A054A,9.2,0,9.2,0,9.2,0,9.2,0,9.2,0,9.2,0,0.0,0.0,0,0,0
50,6472,4025.3771,4922.4247,4166.0066,5.01,31,42,A054A,5.01,0,5.01,0,5.01,0,5.01,0,5.01,0,5.01,0,0.0,0.0,0,0,0
51,6473,4026.8954,4921.0749,4163.7991,4.2,31,42,A054A,4.2,0,4.2,0,4.2,0,4.2,0,4.2,0,4.2,0,0.0,0.0,0,0,0
52,6474,4028.4144,4919.7243,4161.5927,12.03,31,42,A054A,12.03,0,12.03,0,12.03,0,12.03,0,12.03,0,12.03,0,0.0,0.0,0,0,0
53,6475,4029.7824,4918.5081,4159.6079,10.3625,31,42,A054A,10.3625,0,10.3625,0,10.3625,0,10.3625,0,10.3625,0,10.3625,0,0.0,0.0,0,0,0
54,6476,4031.1763,4917.2687,4157.5871,14.841935,32,42,A054A,14.841935,0,14.841935,0,14.841935,0,14.841935,0,14.841935,0,14.841935,0,0.0,0.0,0,0,0
55,6477,4032.7232,4915.8934,4155.347,13.2,32,42,A054A,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,0.0,0.0,0,0,0
56,6478,4033.8649,4914.8783,4153.6952,16.299999,32,42,A054A,16.299999,0,16.299999,0,16.299999,0,16.299999,0,16.299999,0,16.299999,0,0.0,0.0,0,0,0
57,6479,4035.0071,4913.8628,4152.0439,14.15,31,42,A054A,14.15,0,14.15,0,14.15,0,14.15,0,14.15,0,14.15,0,0.0,0.0,0,0,0
58,6480,4036.5308,4912.5081,4149.8432,19.35,31,42,A054A,19.35,0,19.35,0,19.35,0,19.35,0,19.35,0,19.35,0,0.0,0.0,0,0,0
59,6481,4038.0553,4911.1526,4147.6435,27.950001,31,42,A054A,27.950001,0,27.950001,0,27.950001,0,27.950001,0,27.950001,0,27.950001,0,0.0,0.0,0,0,0
60,6482,4039.5807,4909.7964,4145.4449,20.800001,31,42,A054A,20.800001,0,20.800001,0,20.800001,0,20.800001,0,20.800001,0,20.800001,0,0.0,0.0,0,0,0
61,6483,4041.107,4908.4394,4143.2474,15.45,31,42,A054A,15.45,0,15.45,0,15.45,0,15.45,0,15.45,0,15.45,0,0.0,0.0,0,0,0
62,6484,4042.6341,4907.0817,4141.051,16.65,31,42,A054A,16.65,0,16.65,0,16.65,0,16.65,0,16.65,0,16.65,0,0.0,0.0,0,0,0
63,6485,4044.1621,4905.7232,4138.8556,13.45,31,42,A054A,13.45,0,13.45,0,13.45,0,13.45,0,13.45,0,13.45,0,0.0,0.0,0,0,0
64,6486,4045.6907,4904.3641,4136.661,19.799999,31,42,A054A,19.799999,0,19.799999,0,19.799999,0,19.799999,0,19.799999,0,19.799999,0,0.0,0.0,0,0,0
65,6487,4047.2158,4903.0081,4134.462,24.049999,31,42,A054A,24.049999,0,24.049999,0,24.049999,0,24.049999,0,24.049999,0,24.049999,0,0.0,0.0,0,0,0
66,6488,4048.7357,4901.6568,4132.2566,17.65,31,42,A054A,17.65,0,17.65,0,17.65,0,17.65,0,17.65,0,17.65,0,0.0,0.0,0,0,0
67,6489,4050.2505,4900.31,4130.0449,16.950001,31,42,A054A,16.950001,0,16.950001,0,16.950001,0,16.950001,0,16.950001,0,16.950001,0,0.0,0.0,0,0,0
68,6490,4051.76,4898.9679,4127.8268,15.250001,31,42,A054A,15.250001,0,15.250001,0,15.250001,0,15.250001,0,15.250001,0,15.250001,0,0.0,0.0,0,0,0
69,6491,4053.3895,4897.5192,4125.4167,14.614285,31,42,A054A,14.614285,0,14.614285,0,14.614285,0,14.614285,0,14.614285,0,14.614285,0,0.0,0.0,0,0,0
70,6583,3180.6759,4334.9154,4121.8069,0.348333,32,41,A055,0.348333,0,0.348333,0,0.348333,0,0.348333,0,0.348333,0,0.348333,0,0.0,0.0,0,0,0
71,6584,3182.2365,4333.2336,4119.874,0.15,32,41,A055,0.15,0,0.15,0,0.15,0,0.15,0,0.15,0,0.15,0,0.0,0.0,0,0,0
72,6585,3183.6408,4331.7203,4118.1339,0.74375,32,41,A055,0.74375,0,0.74375,0,0.74375,0,0.74375,0,0.74375,0,0.74375,0,0.0,0.0,0,0,0
73,6586,3185.3567,4329.8712,4116.0064,0.828571,31,41,A055,0.828571,0,0.828571,0,0.828571,0,0.828571,0,0.828571,0,0.828571,0,14.745175238095241,0.0026758421834706344,21,8,1
74,6587,3187.2542,4327.8264,4113.6524,2.0,31,41,A055,2.0,0,2.0,0,2.0,0,2.0,0,2.0,0,2.0,0,16.869800333333338,0.005645478509304737,21,8,1
75,6588,3188.8393,4326.1182,4111.6847,10.2,31,41,A055,10.2,0,10.2,0,10.2,0,10.2,0,10.2,0,10.2,0,17.282097523809526,0.028105054091097315,21,8,1
76,6589,3190.3981,4324.4384,4109.7487,7.3,31,41,A055,7.3,0,7.3,0,7.3,0,7.3,0,7.3,0,7.3,0,18.118975142857145,0.019185359264433113,21,8,1
77,6590,3191.7748,4322.9548,4108.0381,35.708694,31,41,A055,35.708694,0,35.708694,0,35.708694,0,35.708694,0,35.708694,0,35.708694,0,19.471770095238096,0.08732714035155148,21,8,1
78,6591,3193.1512,4321.4715,4106.3269,11.04,32,41,A055,11.04,0,11.04,0,11.04,0,11.04,0,11.04,0,11.04,0,0.0,0.0,0,0,0
79,6592,3194.7091,4319.7927,4104.3892,28.060001,32,41,A055,28.060001,0,28.060001,0,28.060001,0,28.060001,0,28.060001,0,28.060001,0,0.0,0.0,0,0,0
80,6593,3196.2666,4318.1143,4102.4509,22.67,32,41,A055,22.67,0,22.67,0,22.67,0,22.67,0,22.67,0,22.67,0,0.0,0.0,0,0,0
81,6594,3197.8238,4316.4362,4100.512,7.3,32,41,A055,7.3,0,7.3,0,7.3,0,7.3,0,7.3,0,7.3,0,0.0,0.0,0,0,0
