mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,x_rot,y_rot,z_rot,CAP1_P,CPD1_P,CAP2_P,CPD2_P,CAP3_P,CPD3_P,CAP4_P,CPD4_P,CAP5_P,CPD5_P,CAP6_P,CPD6_P,AVG_SN_P,AVG_CN_P,PROP_SN_P,PROP_CN_P,EVAL_P,NCOMP_P,NXPAN_P
4009.0,4937.0,4190.0,5.0,31,42,A054A,0.0,0.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,0,0,0,0,0,0
4011.0,4935.0,4187.0,9.0,31,42,A054A,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
4012.0,4934.0,4185.0,9.0,31,42,A054A,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
4014.0,4933.0,4183.0,8.0,31,42,A054A,0.0,0.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,0,0,0,0,0,0,0
4015.0,4931.0,4181.0,7.0,31,42,A054A,0.0,0.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,0,0,0,0,0,0,0
4016.0,4930.0,4179.0,9.0,31,42,A054A,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
4025.0,4922.0,4166.0,5.0,31,42,A054A,0.0,0.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,0,0,0,0,0,0
4027.0,4921.0,4164.0,4.0,31,42,A054A,0.0,0.0,0,4.0,0,4.0,0,4.0,0,4.0,0,4.0,0,4.0,0,0,0,0,0,0,0,0
4028.0,4920.0,4162.0,12.0,31,42,A054A,0.0,0.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,0,0,0,0,0,0,0
4030.0,4919.0,4160.0,10.0,31,42,A054A,0.0,0.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,0,0,0,0,0,0,0
4031.0,4917.0,4158.0,15.0,32,42,A054A,0.0,0.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,0,0,0,0,0,0,0
4033.0,4916.0,4155.0,13.0,32,42,A054A,0.0,0.0,0,13.0,0,13.0,0,13.0,0,13.0,0,13.0,0,13.0,0,0,0,0,0,0,0,0
4034.0,4915.0,4154.0,16.0,32,42,A054A,0.0,0.0,0,16.0,0,16.0,0,16.0,0,16.0,0,16.0,0,16.0,0,0,0,0,0,0,0,0
4035.0,4914.0,4152.0,14.0,31,42,A054A,0.0,0.0,0,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,0,0,0,0,0,0,0
4037.0,4913.0,4150.0,19.0,31,42,A054A,0.0,0.0,0,19.0,0,19.0,0,19.0,0,19.0,0,19.0,0,19.0,0,0,0,0,0,0,0,0
4038.0,4911.0,4148.0,28.0,31,42,A054A,0.0,0.0,0,28.0,0,28.0,0,28.0,0,28.0,0,28.0,0,28.0,0,0,0,0,0,0,0,0
4040.0,4910.0,4145.0,21.0,31,42,A054A,0.0,0.0,0,21.0,0,21.0,0,21.0,0,21.0,0,21.0,0,21.0,0,0,0,0,0,0,0,0
4041.0,4908.0,4143.0,15.0,31,42,A054A,0.0,0.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,0,0,0,0,0,0,0
4043.0,4907.0,4141.0,17.0,31,42,A054A,0.0,0.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,0,0,0,0,0,0,0
4044.0,4906.0,4139.0,13.0,31,42,A054A,0.0,0.0,0,13.0,0,13.0,0,13.0,0,13.0,0,13.0,0,13.0,0,0,0,0,0,0,0,0
4046.0,4904.0,4137.0,20.0,31,42,A054A,0.0,0.0,0,20.0,0,20.0,0,20.0,0,20.0,0,20.0,0,20.0,0,0,0,0,0,0,0,0
4047.0,4903.0,4134.0,24.0,31,42,A054A,0.0,0.0,0,24.0,0,24.0,0,24.0,0,24.0,0,24.0,0,24.0,0,0,0,0,0,0,0,0
4049.0,4902.0,4132.0,18.0,31,42,A054A,0.0,0.0,0,18.0,0,18.0,0,18.0,0,18.0,0,18.0,0,18.0,0,0,0,0,0,0,0,0
4050.0,4900.0,4130.0,17.0,31,42,A054A,0.0,0.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,0,0,0,0,0,0,0
4052.0,4899.0,4128.0,15.0,31,42,A054A,0.0,0.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,0,0,0,0,0,0,0
4053.0,4898.0,4125.0,15.0,31,42,A054A,0.0,0.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,0,0,0,0,0,0,0
3181.0,4335.0,4122.0,0.0,32,41,A055,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
